Species,Sexual_size_dimorphism,SSD_N,Sexual_canine_dimorphism,SCD_N,Relative_testes_size,RTS_N
Allocebus trichotis,1.08,4,NA,NA,NA,NA
Cheirogaleus medius,1,48,0.94,12,-0.232,15
Microcebus murinus,0.83,60,0.99,100,0.091,10
Microcebus rufus,1.02,28,0.94,21,NA,NA
Mirza coquereli,1.02,19,NA,NA,0.497,11
Daubentonia madagascariensis,1.07,4,NA,NA,NA,NA
Hapalemur griseus,1.05,19,1,23,-0.332,5
Eulemur coronatus,1.02,19,1.11,22,0.6,8
Eulemur fulvus,1,107,1.18,37,0.274,8
Eulemur macaco,0.97,43,1.02,14,0.326,8
Eulemur mongoz,1.01,27,1.2,13,-0.315,9
Eulemur rubriventer,1.06,8,1.05,21,-0.611,4
Lemur catta,1.01,40,1.19,19,0.35,12
Varecia variegata,0.99,81,1.04,10,0.112,11
Lepilemur leucopus,1.12,24,NA,NA,NA,NA
Lepilemur mustelinus,1.04,7,1.33,13,NA,NA
Lepilemur ruficaudatus,0.9,6,1.18,11,NA,NA
Avahi laniger,0.79,8,0.95,11,NA,NA
Indri indri,1,18,NA,NA,NA,NA
Propithecus diadema,0.96,14,0.88,12,NA,NA
Propithecus tattersalli,0.96,9,NA,NA,NA,NA
Propithecus verreauxi,0.98,22,1.06,12,NA,NA
Galago elegantulus,1.07,24,NA,NA,NA,NA
Galago moholi,1.17,45,1.06,86,-0.414,14
Galago senegalensis,1.11,101,NA,NA,NA,NA
Galagoides alleni,1.11,22,NA,NA,NA,NA
Galagoides demidvii,1.17,12,1.28,56,NA,NA
Galagoides zanzibaricus,1.17,26,1.11,18,NA,NA
Otolemur crassicaudatus,1.2,84,1.23,40,-0.193,9
Otolemur garnetti,1.18,38,1.08,59,0.072,10
Arctocebus calabarensis,1.07,11,1,10,0,NA
Loris tardigradus,1,18,0.98,15,0.154,4
Nycticebus coucang,1.01,29,1.04,28,-0.203,9
Nycticebus pygmaeus,1.23,12,1.11,10,0.175,4
Perodicticus potto,0.96,11,1.01,53,0.19,3
