Species,Mating_System_KW,Mating_System_Kappeler,Males_per_female_CRA
Cheirogaleus_medius,Monogamous,S,Single
Daubentonia_madagascariensis,Polygynandrous.scramble,S,Multiple
Eulemur_albifrons,Polygynandrous,NA,Multiple
Eulemur_collaris,Polygynandrous,NA,Multiple
Eulemur_coronatus,Polygynandrous,G,Multiple
Eulemur_flavifrons,Polygynandrous,NA,Multiple
Eulemur_fulvus,Polygynandrous,G,Multiple
Eulemur_macaco,Polygynandrous,G,Multiple
Eulemur_mongoz,Monogamous,P,Single
Eulemur_rubriventer,Monogamous,P,Single
Eulemur_rufus,Polygynandrous,NA,Multiple
Eulemur_sanfordi,Polygynandrous,NA,Multiple
Galago_moholi,NA,S,Multiple
Hapalemur_griseus,Polygynous.Monogamous,P,Single
Lemur_catta,Polygynandrous,G,Multiple
Loris_tardigradus,NA,S,Multiple
Microcebus_murinus,Polygynandrous.scramble,S,Multiple
Mirza_coquereli,Polygynandrous.scramble,S,Multiple
Nycticebus_coucang,NA,S,Multiple
Nycticebus_pygmaeus,NA,S,Multiple
Otolemur_garnettii,NA,S,Multiple
Propithecus_coquereli,Polygynandrous,NA,Multiple
Propithecus_diadema,Polygynandrous,G,Multiple
Perodicticus_potto,NA,S,Multiple
Varecia_rubra,Polygynandrous,NA,Multiple
Varecia_variegata,Polygynandrous,P,Multiple
