Species,SocialMatingSystem,Monopolization,FemalesPerMaleInBreedingGroup,MalesPerBreedingGroup,SocialGroupSize,MaleBodyMass(SSDDataset).in.g,FemaleBodyMass(SSDDataset).in.g,SexualSizeDimorphism,MaleCanineHeight.in.mm,FemaleCanineHeight.in.mm,SexualCanineDimorphism,MaleBodyMass(CanineDataset).in.g,CombinedTestesMass.in.g,MaleBodyMass(TestesDataset).in.g,meanMaleBodyMass.in.g,HeadFlesh,HeadSkin,HeadHair,BodyFlesh,BodySkin,BodyHair,BodyPelageDichrom,GenitalFlesh,GenitalSkin,GenitalHair,SexualOrnamentDimorphism (ExcludingDichromatism),SexualOrnamentDimorphism,TotalOrnamentDimorphism(PreviouslyPublished),OrnamentDescription,CladeForMale-specificOrnamentation,Intra-cladeDavid'sScoreMale-specificOrnamentation,References,Comments
Allenopithecus nigroviridis,Multimale,No,,,35,6130,3180,1.928,18.41,8.33,2.21,6130,16.96,5000,5753,0,0,0,0,0,0,0,0,1,0,1,1,3,Male: bluish white scrotum (3),,,5-Jan,
Alouatta caraya,Polygynous,Yes,1,1,10.1,6420,4330,1.483,14.74,9.56,1.542,6420,18.37,6420,6420,0,0,1,0,0,0,1,0,1,0,2,3,8,"Rust-red scrotum (2); maleís beard larger than femaleís (1); Sexual dichromatism: male black, female golden/dark yellow (5)",Alouattinae,5.583,"2-4, 6-8",
Alouatta guariba,Polygynous,Yes,,,6.5,6730,4350,1.547,13.98,5.78,2.419,6730,8.85,6700,6720,0,0,1,0,0,0,1,0,0,0,1,2,4.5,Male seems to have a slight beard (1); Sexual dichromatism: Male has darker pelage than female (3.5),Alouattinae,-0.833,"2-4, 6, 9",Testes mass from volume
Alouatta palliata,Multimale,No,2.5,2,15.1,7150,5350,1.24,14.58,8.56,1.703,7030,24,5800,6660,0,0,0,0,0,0,0,0,0,0,0,0,0,,Alouattinae,-3.833,"2-4, 6, 8, 10",Testes mass from volume
Alouatta pigra,Polygynous,Yes,,,6.3,11400,6430,1.773,11.31,10.2,1.109,11400,12,7600,10133,0,0,0,0,0,0,0,0,0,0,0,0,0,,Alouattinae,-2.917,"2-4, 6, 10",Testes mass from volume
Alouatta seniculus,Polygynous,Yes,1.16,1.5,7.9,6690,5210,1.284,13.54,9.25,1.464,6690,3.75,6700,6693,0,0,2,0,0,0,0,0,0,0,2,2,4,Long blackish beard (4),Alouattinae,2,"2-4, 6, 8, 9",Testes mass from volume
Aotus trivirgatus,Monogamous,No,1,1,2.9,813,736,1.105,5.34,4.81,1.11,813,1.2,1020,882,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"2-6, 8",
Ateles geoffroyi,Multimale,No,,,31.9,7450,7640,1.067,11.51,7.29,1.579,7780,13.4,7940,7723,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6-Feb,
Ateles paniscus,Multimale,No,1.6,5,38.5,9110,8440,1.079,12.11,7.73,1.567,9110,64.23,9110,9110,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"3, 4, 8, 11, 12",
Avahi laniger,Monogamous,No,,1,2.5,1030,1320,0.78,3.58,3.79,0.945,1030,2.09,1300,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"3-5, 11, 13",
Brachyteles arachnoides,Multimale,No,,9.8,18,9610,8070,1.191,9.47,7.09,1.336,9610,,,9610,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"2-4, 6, 8",
Cacajao calvus,Multimale,No,,,35.1,3450,2880,1.198,13.58,10.82,1.255,3450,5.8,3450,3450,1,0,0,0,0,0,0,0,0,0,1,1,2,"Both sexes lose the hair on the head, and the skin on the head and face reddens as they mature. However, the maleís bulging temporal muscles and other features make his red head appear visually more striking than that of the female (2)",Pitheciinae,1.25,6-Feb,
Callicebus moloch,Monogamous,No,1,1,3.5,1020,956,1.063,4.36,4.04,1.079,1020,,,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,,Pitheciinae,-1.875,"2-4, 6, 8",
Callicebus torquatus,Monogamous,No,,,3.9,1280,1210,1.058,4.34,4.1,1.059,1280,,,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,,Pitheciinae,0.625,"2.4, 6",
Callithrix jacchus,Multimale,No,1,2.7,9.5,317,324,0.947,5.08,4.81,1.056,360,1.3,320,332,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"2-4, 6, 8, 12",
Callithrix penicillata,Polyandrous,No,,,9.5,344,307,1.097,5.4,5,1.08,340,1.08,300,328,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"2-4, 6, 14",
Cebuella pygmaea,Monogamous,No,,1.4,5.5,110,122,0.902,3.08,2.98,1.034,110,0.33,130,117,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"2-6, 8",
Cebus apella,Multimale,No,,2,18,3650,2520,1.448,14.1,9.69,1.455,3650,9.1,4800,4033,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"2-4, 6, 8, 12",
Cebus capucinus,Multimale,No,3.7,5.5,16.4,3680,2540,1.449,14.25,9.01,1.582,3680,,,3680,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"2-4, 6, 8",
Cebus olivaceus,Polygynous,Yes,,1,21,3290,2520,1.306,14.35,9.12,1.573,3290,,,3290,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"2, 3, 6, 8, 15",
Cercocebus torquatus,Multimale,No,,,21.8,11000,6200,1.722,23.53,9.53,2.469,9470,,,10235,0,0,0,0,0,0,0,0,0,0,0,0,0,,Papionini,-10.975,"2, 3, 6, 15",
Cercopithecus ascanius,Polygynous,Yes,,1,28.7,3700,2920,1.267,16.13,10.3,1.566,3700,3,5360,4253,0,0,0,0,0,0,0,0,0,0,0,0,0,,Arboreal Cercophithecus,-9.9,"2-6, 8",
Cercopithecus cephus,Polygynous,Yes,,,6,4290,2880,1.49,16.32,9.59,1.702,4290,,,4290,0,0,0,0,0,0,0,0,0,0,0,0,0,,Arboreal Cercophithecus,-17.6,"2.4, 6",
Cercopithecus diana,Polygynous,Yes,,,24.1,5200,3900,1.333,19.94,12.32,1.619,5200,,,5200,0,0,0,0,0,0,0,0,1,0,1,1,3,Male has a blue scrotum (3),Arboreal Cercophithecus,13.108,"2-4, 6",
