subject,birthdate,deathdate,age_at_death,species,sex,social_environment,housing,diet,measurement,measurements,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,y69,y70
DL-cm-11,1985-07-23,2004-01-11,18.47,Fat-tailed Dwarf Lemur,Female,Mixed,Inside,Chow,Eosinophils-Abs,1,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-cm-14,1985-08-07,1998-09-22,13.12,Fat-tailed Dwarf Lemur,Female,Mixed,Inside,Chow,Eosinophils-Abs,1,,,,,,,,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-cm-15,1988-08-10,2010-11-16,22.27,Fat-tailed Dwarf Lemur,Female,Mixed,Inside,Chow,Eosinophils-Abs,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-cm-22,2001-07-01,,,Fat-tailed Dwarf Lemur,Female,Mixed,Inside,Chow,Eosinophils-Abs,1,,,,,,,,,,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-cm-23,2002-07-01,,,Fat-tailed Dwarf Lemur,Female,Mixed,Inside,Chow,Eosinophils-Abs,2,,,,,,,,,,,,,0,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-cm-37,1985-07-14,2002-04-28,16.79,Fat-tailed Dwarf Lemur,Male,Mixed,Inside,Chow,Eosinophils-Abs,1,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-cm-44,1986-07-11,2005-02-09,18.58,Fat-tailed Dwarf Lemur,Male,Mixed,Inside,Chow,Eosinophils-Abs,1,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-cm-51,2001-07-01,2019-03-15,17.71,Fat-tailed Dwarf Lemur,Male,Mixed,Inside,Chow,Eosinophils-Abs,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-cm-8,1984-06-17,2004-12-09,20.48,Fat-tailed Dwarf Lemur,Female,Mixed,Inside,Chow,Eosinophils-Abs,1,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-cm-9,1984-08-11,2004-05-03,19.73,Fat-tailed Dwarf Lemur,Female,Mixed,Inside,Chow,Eosinophils-Abs,1,,,,,,,,,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-10,2005-02-22,,,Aye-aye,Male,Mixed,Inside,Chow,Eosinophils-Abs,3,,530,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-11,2008-07-23,2016-05-11,7.80,Aye-aye,Male,Mixed,Inside,Chow,Eosinophils-Abs,3,,0,777,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-12,2009-04-03,2016-10-25,7.56,Aye-aye,Male,Mixed,Inside,Chow,Eosinophils-Abs,2,,,164,,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-13,1993-10-08,1998-12-20,5.20,Aye-aye,Female,Mixed,Inside,Chow,Eosinophils-Abs,6,0,250.5,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-14,1996-04-15,,,Aye-aye,Female,Mixed,Inside,Chow,Eosinophils-Abs,12,,,,82,,0,524,,630,,0,,,0,,,128,,127,,140,,446.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-15,1998-01-06,,,Aye-aye,Female,Mixed,Inside,Chow,Eosinophils-Abs,7,,,,432,,,,0,,,0,,168,,360,,,131,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-16,2001-07-30,,,Aye-aye,Female,Mixed,Inside,Chow,Eosinophils-Abs,7,,,,0,,0,0,,387,,86,,,,0,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-17,2001-09-05,,,Aye-aye,Female,Mixed,Inside,Chow,Eosinophils-Abs,2,,,,0,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-18,2003-10-14,,,Aye-aye,Female,Mixed,Inside,Chow,Eosinophils-Abs,7,,,0,,,0,,,0,,,,140,497.2,,175.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-19,2004-09-10,,,Aye-aye,Female,Mixed,Inside,Chow,Eosinophils-Abs,2,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-2,1992-10-23,1998-02-05,5.29,Aye-aye,Male,Mixed,Inside,Chow,Eosinophils-Abs,7,0,375,115.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-20,2005-09-05,2016-10-26,11.14,Aye-aye,Female,Mixed,Inside,Chow,Eosinophils-Abs,7,,0,0,,,91,,53.9,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-21,2005-12-30,,,Aye-aye,Female,Mixed,Inside,Chow,Eosinophils-Abs,4,195,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-22,2007-08-21,,,Aye-aye,Female,Mixed,Inside,Chow,Eosinophils-Abs,4,0,,,130,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-3,1994-06-05,2016-10-25,22.39,Aye-aye,Male,Mixed,Inside,Chow,Eosinophils-Abs,16,0,61.5,,0,,,,,0,,,,,0,,,,,,0,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-4,1994-08-25,,,Aye-aye,Male,Mixed,Inside,Chow,Eosinophils-Abs,15,0,369.5,258,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-5,1998-02-08,2008-11-13,10.76,Aye-aye,Male,Mixed,Inside,Chow,Eosinophils-Abs,5,,0,,0,,,240,,134,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-6,1998-06-16,,,Aye-aye,Male,Mixed,Inside,Chow,Eosinophils-Abs,7,,0,0,0,,,0,,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-7,2001-01-07,,,Aye-aye,Male,Mixed,Inside,Chow,Eosinophils-Abs,3,,,0,,,,,,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-8,2001-10-25,2015-01-19,13.24,Aye-aye,Male,Mixed,Inside,Chow,Eosinophils-Abs,3,,,,378,,141,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-9,2003-09-26,2016-03-29,12.51,Aye-aye,Male,Mixed,Inside,Chow,Eosinophils-Abs,4,,,0,,137,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-1,1977-07-18,2003-04-11,25.73,Crowned lemur,Female,Mixed,Mixed,Chow,Eosinophils-Abs,4,,,,,,,,,,,,,,,,,,0,47,,,,,,100,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-10,1996-05-01,2019-09-24,23.40,Crowned lemur,Female,Mixed,Mixed,Chow,Eosinophils-Abs,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-11,1980-04-28,1997-02-23,16.82,Crowned lemur,Male,Mixed,Mixed,Chow,Eosinophils-Abs,1,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-12,1988-05-18,2001-01-31,12.70,Crowned lemur,Male,Mixed,Mixed,Chow,Eosinophils-Abs,1,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-13,1989-04-17,2004-12-07,15.64,Crowned lemur,Male,Mixed,Mixed,Chow,Eosinophils-Abs,6,,,,,141,68,,,,,,0,0,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-14,1990-04-18,2019-12-20,29.67,Crowned lemur,Male,Mixed,Mixed,Chow,Eosinophils-Abs,5,,,,,,0,,,,,,,80,0,,,,,,,124,,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-15,1991-05-13,1997-09-14,6.34,Crowned lemur,Male,Mixed,Mixed,Chow,Eosinophils-Abs,2,,,,,30,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-16,1992-04-06,2018-10-25,26.55,Crowned lemur,Male,Mixed,Mixed,Chow,Eosinophils-Abs,8,,,,126,,,,,,144,,40,,,135,,165,,,124,,,516,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
