"","species","mean_value_Basophils-Abs","mean_value_Body Weight","mean_value_Eosinophils-Abs","mean_value_Lymphocytes-Abs","mean_value_Monocytes-Abs","mean_value_Neutrophil-Seg-Abs","mean_value_Red Blood Cells","mean_value_White Blood Cells","n_ind_Basophils-Abs","n_ind_Body Weight","n_ind_Eosinophils-Abs","n_ind_Lymphocytes-Abs","n_ind_Monocytes-Abs","n_ind_Neutrophil-Seg-Abs","n_ind_Red Blood Cells","n_ind_White Blood Cells"
"1","Aye-aye",12.5896031746032,2.60310233771357,98.7376785714286,5296.88468650794,539.507956349206,5239.99489285714,7.12646822478992,11.2700568977591,21,28,21,21,21,21,21,21
"2","Black and White Ruffed Lemur",2.1140350877193,3.54225122201877,176.693859649123,3756.56447368421,368.520175438596,4700.37514619883,9.15784722222222,9.21092171717172,19,132,19,19,19,19,21,21
"3","Blue-eyed Black Lemur",6.56381508319914,2.499635962342,293.178958668814,3436.49898013956,277.884336419753,3780.13013117284,8.0455750534188,7.77865547839506,35,69,35,35,35,35,35,35
"4","Collared Lemur",6.53423913043478,2.35921511670151,232.727508361204,3861.10206243032,276.86852006689,4346.3364548495,7.55889276755853,8.64772157190636,26,48,26,26,26,26,26,26
"5","Common Black Lemur",15.275641025641,2.39897142940393,121.77380952381,2627.62744200244,266.792582417582,4157.60256410256,7.887528998779,7.17875457875458,16,56,16,16,16,16,16,16
"6","Common Brown Lemur",0,2.47674145050125,125.083333333333,3344.08333333333,231,2141.5,8.61333333333333,5.84166666666667,2,27,2,2,2,2,2,2
"7","Coquerel's Lemur",5.5391033073207,3.80749539958263,45.4610223297234,2346.88370344933,261.248294825344,4545.726443031,7.92973298703539,7.1617179712062,52,87,52,52,52,52,52,52
"8","Crowned lemur",22.4935064935065,1.57089421187958,147.253977272727,2736.05911796537,180.559956709957,3630.37186147186,8.6239117965368,6.81640022675737,22,43,22,22,22,22,22,22
"9","Eastern Lesser Bamboo Lemur",1.95202132936508,1.06651292717164,121.221701388889,3735.83159722222,248.157775297619,3323.8220734127,11.3673289930556,7.30244981325864,26,37,26,26,26,26,25,26
"10","Fat-tailed Dwarf Lemur",15.5,0.225412232142062,140.833333333333,3887.63888888889,193.958333333333,1478.23611111111,9.44964285714286,6.30833333333333,5,92,10,11,10,11,11,11
"11","Golden-crowned Sifaka",7,2.91875,100.142857142857,1697.28571428571,319.428571428571,5172.71428571429,7.16142857142857,8.02857142857143,1,2,1,1,1,1,1,1
"12","Grey Mouse Lemur",0,0.0799749585313774,560,2518,240,2682,9.155,7.025,2,86,2,2,2,2,3,3
"13","Lesser Bushbaby",1.57142857142857,0.167992649291114,64.9880952380952,3893.88095238095,92.8690476190476,1498.66666666667,8.4475,5.484375,9,65,9,9,9,9,8,9
"14","Mongoose Lemur",3.13621031746032,1.57640662077984,162.547817460317,2444.29967757937,166.825545634921,2764.67547123016,8.92426661706349,5.63371031746032,36,73,36,36,36,36,37,37
"15","Northern Giant Mouse Lemur",0.651515151515151,0.286661745451514,195.481060606061,3951.70303030303,210.26553030303,4205.18484848485,7.61039772727273,9.69458333333333,15,59,15,15,15,15,16,16
"16","Pygmy Slow Loris",37.0178571428571,0.485821147609539,121.876984126984,7072.06111111111,370.586507936508,4117.83015873016,5.00909722222222,11.8537037037037,9,39,10,10,10,10,10,10
"17","Red-bellied Lemur",6.02589807852966,2.17675488275613,226.533563074353,3311.06691729323,296.890977443609,4687.84642857143,8.69958080808081,8.78003787878788,11,14,11,11,11,11,11,11
"18","Red-fronted Lemur",2.22916666666667,2.17583369623534,279.684027777778,3576.22708333333,226.559722222222,3970.71319444444,8.189578125,8.11072916666667,19,92,19,19,19,19,20,20
"19","Red-ruffed Lemur",4.38726923076923,3.64105419341322,161.518603846154,2422.37663589744,234.673252564103,3628.64673846154,8.9862326007326,6.48099816849817,40,136,40,40,40,40,48,47
"20","Ringtailed Lemur",4.01018518518519,2.50332176286444,143.745803188851,2707.09368149425,269.86997607953,3807.66654795788,7.47723649600616,6.89785163918278,96,111,96,96,96,96,99,99
"21","Sanford's Lemur",8.80803571428572,2.01535107924483,158.439732142857,2928.08258928571,151.409226190476,2807.42708333333,7.38904513888889,6.30722222222222,10,21,10,10,10,10,10,10
"22","Slender Loris",5.375,0.177154967678725,88.95,6688,317,4396.425,6.152,11.94,6,32,7,8,8,8,8,8
"23","Slow Loris",10.128125,1.13269762798544,229.15375,4583.54395833333,313.395833333333,3404.88333333333,5.93921428571429,8.7031,13,37,14,14,14,14,14,14
"24","White-headed Brown Lemur",20.40625,2.14309429382385,142.947916666667,4014.36458333333,305.854166666667,3718.15625,7.03099358974359,8.39070512820513,6,25,6,6,6,6,6,6
