"","species","age","mean_value_Basophils-Abs","mean_value_Body Weight","mean_value_Eosinophils-Abs","mean_value_Lymphocytes-Abs","mean_value_Monocytes-Abs","mean_value_Neutrophil-Seg-Abs","mean_value_Red Blood Cells","mean_value_White Blood Cells","n_ind_Basophils-Abs","n_ind_Body Weight","n_ind_Eosinophils-Abs","n_ind_Lymphocytes-Abs","n_ind_Monocytes-Abs","n_ind_Neutrophil-Seg-Abs","n_ind_Red Blood Cells","n_ind_White Blood Cells"
"1","Aye-aye","y0",35.5,0.58995,32.5,6225.91666666667,177.833333333333,2280.5,6.84833333333333,9.575,6,28,6,6,6,6,6,6
"2","Aye-aye","y1",0,1.90625,137.178571428571,7385.94047619048,425.833333333333,3602.84523809524,7.30758928571429,11.6321428571429,10,26,10,10,10,10,11,10
"3","Aye-aye","y10",0,2.68125,67.25,4630.25,647.875,5802.125,7.36125,11.70625,5,14,5,5,5,5,5,5
"4","Aye-aye","y11",0,2.70646428571429,0,7350,300,7350,6.55,15,1,12,1,1,1,1,1,1
"5","Aye-aye","y12",0,2.72008333333333,95.5,3912,502.5,8115,7.295,12.625,4,11,4,4,4,4,4,4
"6","Aye-aye","y13",7.53333333333333,2.73275,82.8666666666667,3698,634.916666666667,3463.01666666667,7.11166666666667,7.91666666666667,4,11,4,4,4,4,4,4
"7","Aye-aye","y14",0,2.67254761904762,180,3517.5,367.5,8185,6.52,10.6666666666667,2,10,2,2,2,2,4,4
"8","Aye-aye","y15",35.1,2.67095238095238,143.25,6487.05,125.7,4608.9,7.09,11.4,2,10,2,2,2,2,2,2
"9","Aye-aye","y16",0,2.70729166666667,128,5248,1280,6144,6.78,11.9,1,9,1,1,1,1,2,2
"10","Aye-aye","y17",0,2.76366666666667,131,6026,655,6288,7.6,13.3,1,8,1,1,1,1,2,2
"11","Aye-aye","y18",0,2.73145833333333,127,5334,381,6858,7.37,12.8,1,7,1,1,1,1,2,2
"12","Aye-aye","y19",0,2.746875,0,1716,660,4224,7.15,6.6,1,7,1,1,1,1,1,1
"13","Aye-aye","y2",11.7142857142857,2.26442307692308,93.8928571428571,6289.85714285714,481.214285714286,4874.53571428571,7.18333333333333,11.8071428571429,10,26,10,10,10,10,10,10
"14","Aye-aye","y20",0,2.79125,140,6226,734,6900,7.385,14,1,4,1,1,1,1,1,1
"15","Aye-aye","y21",0,2.7775,99,2794.37,666,7040.51,7.135,10.685,3,4,3,3,3,3,3,3
"16","Aye-aye","y22",0,2.74875,446.5,6116,124,5713.5,7.165,12.4,1,4,1,1,1,1,1,1
"17","Aye-aye","y23",NA,3.04,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"18","Aye-aye","y24",NA,3.095,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"19","Aye-aye","y25",NA,3.084,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"20","Aye-aye","y26",NA,3.357,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"21","Aye-aye","y3",39.1666666666667,2.42538461538462,91.4666666666667,6567.45,585.65,4402.43333333333,7.17816666666667,11.7183333333333,11,26,11,11,11,11,11,11
"22","Aye-aye","y4",0,2.50327884615385,68.5,4435.5,526.75,4419.25,7.38,9.45,2,25,2,2,2,2,2,2
"23","Aye-aye","y5",6.42857142857143,2.58135737179487,41.75,6761.67857142857,624.642857142857,5506.35714285714,7.59892857142857,13.1785714285714,9,25,9,9,9,9,9,9
"24","Aye-aye","y6",37.5,2.65088636363636,155.875,4826.54166666667,417.25,3879.5,7.11375,9.31666666666667,7,23,7,7,7,7,7,7
"25","Aye-aye","y7",7.7,2.68297272727273,17.9666666666667,4408.33333333333,785,5614.33333333333,6.62,10.8333333333333,3,21,3,3,3,3,3,3
"26","Aye-aye","y8",7.9,2.731875,216.65,5162.75,486.166666666667,5004.86666666667,7.247,10.8783333333333,8,18,8,8,8,8,7,8
"27","Aye-aye","y9",56.5,2.72208928571429,0,6295,952.5,5746,7.07,13.05,2,15,2,2,2,2,2,2
"28","Black and White Ruffed Lemur","y0",54.3333333333333,1.33826259569378,0,2785.66666666667,919.666666666667,8873.66666666667,8.32333333333333,12.6333333333333,3,93,3,3,3,3,3,3
"29","Black and White Ruffed Lemur","y1",26,2.98345592948718,76,4143,200.333333333333,3088,9.25,8.5,3,63,3,3,3,3,3,4
"30","Black and White Ruffed Lemur","y10",0,3.85838541666667,549,2135,122,3294,9.44,6.1,1,29,1,1,1,1,1,1
"31","Black and White Ruffed Lemur","y11",0,3.771575,172.833333333333,3850,550.666666666667,4343.16666666667,8.865,8.91666666666667,4,31,4,4,4,4,4,4
"32","Black and White Ruffed Lemur","y12",0,3.72531666666667,656,6888,1640,7216,9.82,16.4,1,28,1,1,1,1,1,1
"33","Black and White Ruffed Lemur","y13",NA,3.88721515151515,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA
"34","Black and White Ruffed Lemur","y14",NA,3.745625,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA
"35","Black and White Ruffed Lemur","y15",0,3.729071875,160,4408,496,5336,7.615,10.4,2,26,2,2,2,2,2,2
"36","Black and White Ruffed Lemur","y16",0,3.60671590909091,239.75,5166.25,651.25,4821.25,9.225,10.9,4,21,4,4,4,4,4,4
"37","Black and White Ruffed Lemur","y17",0,3.64969090909091,49.875,4090.25,209.125,2950,9.635,7.3125,3,21,3,3,3,3,3,3
