"","species","sex","mean_value_Basophils-Abs","mean_value_Body Weight","mean_value_Eosinophils-Abs","mean_value_Lymphocytes-Abs","mean_value_Monocytes-Abs","mean_value_Neutrophil-Seg-Abs","mean_value_Red Blood Cells","mean_value_White Blood Cells","n_ind_Basophils-Abs","n_ind_Body Weight","n_ind_Eosinophils-Abs","n_ind_Lymphocytes-Abs","n_ind_Monocytes-Abs","n_ind_Neutrophil-Seg-Abs","n_ind_Red Blood Cells","n_ind_White Blood Cells"
"1","Aye-aye","Female",13.9195238095238,2.67170841591742,129.589166666667,5411.47035714286,591.695119047619,5708.10321428571,7.17003869047619,11.9709821428571,10,14,10,10,10,10,10,10
"2","Aye-aye","Male",11.2596825396825,2.53449625950972,67.8861904761905,5182.29901587302,487.320793650794,4771.88657142857,7.08289775910364,10.5691316526611,11,14,11,11,11,11,11,11
"3","Black and White Ruffed Lemur","Female",0,3.63219430042755,217,4227.08333333333,484.083333333333,5780.55555555556,8.71527777777778,10.7888888888889,6,55,6,6,6,6,6,6
"4","Black and White Ruffed Lemur","Male",4.2280701754386,3.45230814360999,136.387719298246,3286.04561403509,252.95701754386,3620.19473684211,9.60041666666667,7.63295454545455,13,77,13,13,13,13,15,15
"5","Blue-eyed Black Lemur","Female",5.81775362318841,2.55837133315918,273.374275362319,3695.46956521739,282.234722222222,3828.76736111111,8.42357638888889,8.02357638888889,12,33,12,12,12,12,12,12
"6","Blue-eyed Black Lemur","Male",7.30987654320988,2.44090059152483,312.983641975309,3177.52839506173,273.533950617284,3731.49290123457,7.66757371794872,7.53373456790123,23,36,23,23,23,23,23,23
"7","Collared Lemur","Female",6.08333333333333,2.40358565871484,247.586538461538,4051.92948717949,235.057692307692,3879.43269230769,7.72847756410256,8.39326923076923,10,25,10,10,10,10,10,10
"8","Collared Lemur","Male",6.98514492753623,2.31484457468817,217.86847826087,3670.27463768116,318.679347826087,4813.2402173913,7.38930797101449,8.90217391304348,16,23,16,16,16,16,16,16
"9","Common Black Lemur","Female",21.8846153846154,2.46349116074402,108.5,2244.09615384615,299.942307692308,3939.03846153846,8.00942307692308,6.61346153846154,7,26,7,7,7,7,7,7
"10","Common Black Lemur","Male",8.66666666666667,2.33445169806384,135.047619047619,3011.15873015873,233.642857142857,4376.16666666667,7.76563492063492,7.74404761904762,9,30,9,9,9,9,9,9
"11","Common Brown Lemur","Female",0,2.45166535714286,173.166666666667,3322.16666666667,254.5,2783.5,8.18166666666667,6.53333333333333,1,12,1,1,1,1,1,1
