subject,birthdate,deathdate,age_at_death,species,sex,social_environment,housing,diet,measurement,measurements,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,y69,y70
DL-cm-11,1985-07-23,2004-01-11,18.47,Fat-tailed Dwarf Lemur,Female,Mixed,Inside,Chow,Red Blood Cells,1,,,,,,,,9.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-cm-14,1985-08-07,1998-09-22,13.12,Fat-tailed Dwarf Lemur,Female,Mixed,Inside,Chow,Red Blood Cells,1,,,,,,,,10.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-cm-15,1988-08-10,2010-11-16,22.27,Fat-tailed Dwarf Lemur,Female,Mixed,Inside,Chow,Red Blood Cells,1,,,,,,,,,,,,,,,,,,,,,,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-cm-22,2001-07-01,,,Fat-tailed Dwarf Lemur,Female,Mixed,Inside,Chow,Red Blood Cells,2,,,,,,,,,,8.62,,,,,,8.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-cm-23,2002-07-01,,,Fat-tailed Dwarf Lemur,Female,Mixed,Inside,Chow,Red Blood Cells,2,,,,,,,,,,,,,8.15,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-cm-37,1985-07-14,2002-04-28,16.79,Fat-tailed Dwarf Lemur,Male,Mixed,Inside,Chow,Red Blood Cells,1,,,,,,,,,9.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-cm-44,1986-07-11,2005-02-09,18.58,Fat-tailed Dwarf Lemur,Male,Mixed,Inside,Chow,Red Blood Cells,1,,,,,,,,,,,,,,,,9.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-cm-51,2001-07-01,2019-03-15,17.71,Fat-tailed Dwarf Lemur,Male,Mixed,Inside,Chow,Red Blood Cells,2,,,,,,,,,,,,,,,10.02,10.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-cm-6,1983-07-31,2006-04-06,22.68,Fat-tailed Dwarf Lemur,Female,Mixed,Inside,Chow,Red Blood Cells,1,,,,,,,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-cm-8,1984-06-17,2004-12-09,20.48,Fat-tailed Dwarf Lemur,Female,Mixed,Inside,Chow,Red Blood Cells,1,,,,,,,,,,9.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-cm-9,1984-08-11,2004-05-03,19.73,Fat-tailed Dwarf Lemur,Female,Mixed,Inside,Chow,Red Blood Cells,1,,,,,,,,,10.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-10,2005-02-22,,,Aye-aye,Male,Mixed,Inside,Chow,Red Blood Cells,3,,7.18,,7.14,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-11,2008-07-23,2016-05-11,7.80,Aye-aye,Male,Mixed,Inside,Chow,Red Blood Cells,3,,7.57,7.21,,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
