Variable,Latin_Name,Common_Name,S_N_All_CaptiveBorn,R_Pattern_Breeding,R_Peak_Breeding_Month,R_Peak_Breeding_Season,CRA_Peak_Breeding_Season_Duration,R_Peak_Birth_Month,R_Peak_Birth_Season,CRA_Peak_Birth_Season_Duration,R_Min_Dam_AgeAtConcep_y,R_Min_Sire_AgeAtConcep_y,R_Max_Dam_AgeAtConcep_y,R_Max_Sire_AgeAtConcep_y,L_Max_M_Age_y,L_Max_F_Age_y
CMED,Cheirogaleus medius,Fat-tailed dwarf lemur,248,S,5,4.5.6,3,7,6.7.8,3,0.8,1.8,14.85,16.11,28.99,25.18
DMAD,Daubentonia madagascariensis,Aye-aye,37,NS,0,0,NA,0,0,NA,4.22,3.66,26.03,28.47,32.37,30.53
EALB,Eulemur albifrons,White-fronted brown lemur,32,S,12,1.12,2,4,4.5,2,2.57,2.75,11.31,16.31,27.75,34.07
ECOL,Eulemur collaris,Collared brown lemur,65,S,12,1.11.12,3,4,3.4.5,3,1.64,2.52,23.2,21.22,32.11,32.61
ECOR,Eulemur coronatus,Crowned lemur,72,S,1,1.12,2,5,4.5,2,1.71,2.48,17.47,19.92,26.24,27.42
EFLA,Eulemur flavifrons,Blue-eyed black lemur,68,S,11,11,1,3,3,1,1.59,2.66,16.89,21.13,24.26,24.37
EFUL,Eulemur fulvus,Common brown lemur,58,S,12,11.12,2,4,3.4,2,1.39,1.74,19.18,19.18,34.45,36
EMAC,Eulemur macaco,Black lemur,114,S,11,11.12,2,3,3.4,2,1.48,0.73,15.69,14.73,30.23,30.21
EMON,Eulemur mongoz,Mongoose lemur,106,S,12,1.12,2,4,4.5,2,1.78,2.92,23.6,19.69,34.86,28.07
ERUB,Eulemur rubriventer,Red-bellied lemur,24,S,12,1.11.12,3,4,3.4.5,3,1.78,3.7,13.15,14.3,31.7,29.7
ERUF,Eulemur rufus,Red-fronted brown lemur,163,S,11,11.12,2,3,3.4,2,1.55,1.5,22.37,24.29,32.16,32.18
ESAN,Eulemur sanfordi,Sanford's brown lemur,17,S,1,1.3.12,3,5,4.5.6.7,4,1.61,2.03,19.28,8.43,24.19,31.7
EUL,Eulemur,Eulemur hybrid,273,S,12,1.11.12,3,4,3.4.5,3,1.01,1.6,17.7,9.65,28.83,29.38
GMOH,Galago moholi,Mohol bushbaby,265,NS,0,0,NA,0,0,NA,0.4,1.02,8.48,6.63,16.64,14.45
HGG,Hapalemur griseus,Eastern lesser bamboo lemur,48,S,12,11.12,2,5,4.5.6,3,1.53,3.7,16.98,15.98,23.03,23.4
LCAT,Lemur catta,Ring-tailed lemur,326,S,11,11,1,3,3.4,2,1.34,1.66,21.7,29.53,31.08,26.38
LTAR,Loris tardigradus,Slender loris,54,NS,0,0,NA,0,0,NA,0.99,1.04,13.38,11.63,21.54,18.64
MMUR,Microcebus murinus,Gray mouse lemur,260,S,4,4.5.6.7,4,6,6.7.8,3,0.6,0.6,13.32,9.47,17.96,15.94
MZAZ,Mirza coquereli,Northern giant mouse lemur,104,NS,0,0,NA,0,0,NA,0.82,1.41,12.84,13.7,18.06,19.97
NCOU,Nycticebus coucang,Slow loris,59,NS,0,0,NA,0,0,NA,1.33,1.28,8.16,14.86,22.18,24.04
NPYG,Nycticebus pygmaeus,Pygmy slow loris,38,NS,0,0,NA,0,0,NA,1.87,3.74,11.35,11.56,15.51,19.26
OGG,Otolemur garnettii,Northern greater galago,293,NS,0,0,NA,0,0,NA,0.59,0.76,14.65,10.84,20.01,18.91
PCOQ,Propithecus coquereli,Coquerel's sifaka,160,S,9,7.8.9,3,2,1.2.3.12,4,2.64,2.6,20.4,29.76,30.59,21.69
PPOT,Perodicticus potto,Potto,20,NS,0,0,NA,0,0,NA,2.16,3.15,17.63,13.63,25.67,32.35
VAR,Varecia,Varecia hybrid,50,S,1,1.2.12,3,4,4.5,2,1.64,NA,6.73,NA,16.67,14.13
VRUB,Varecia rubra,Red ruffed lemur,163,S,1,1.2,2,4,4.5,2,1.67,1.79,24.26,21.79,29.91,37.54
VVV,Varecia variegata,Black-and-white ruffed lemur,182,S,1,1.2.12,3,4,4.5,2,1.61,2.68,23.41,31.84,39.39,35.68
