"","species","Scientific_Name","Mating_Season_Duration","Mating_System","age_sex_meanallwbc","age_sex_meanbodyweight","age_sex_meanlymphocyte","age_sex_meanmonocyte","age_sex_meanbasophil","age_sex_meaneosinophil","age_sex_meanneutrophil","monocytes_n_ind","lymphocytes_n_ind","basophils_n_ind","eosinophils_n_ind","neutrophils_seg_n_ind","body_weight_n_ind","wbc_n_ind"
"1","Aye-aye","Daubentonia_madagascariensis",5,"Polygamous",11.3058821733822,2.60175712049389,47.5705598455598,4.86801801801802,0.126640926640927,0.92027027027027,46.1907014157014,21,21,21,21,21,22,21
"2","Black and White Ruffed Lemur","Varecia_variegata_variegata",3,"Polyandrous",9.053125,3.54090878801267,43.9594594594595,3.69594594594595,0.018018018018018,1.97342342342342,50.3328828828829,19,19,19,19,19,42,21
"3","Blue-eyed Black Lemur","Eulemur_macaco_flavifrons",3,"Polygamous",7.76424836601307,2.4976781166481,44.2545751633987,3.6531045751634,0.0895,3.66323529411765,48.4378333333333,35,35,35,35,35,36,35
"4","Collared Lemur","Eulemur_fulvus_collaris",0.5,"Polygamous",8.63214285714286,2.35857206536798,47.0852040816327,2.93180272108844,0.088265306122449,2.56819727891156,47.2751700680272,26,26,26,26,26,36,26
"5","Common Black Lemur","Eulemur_macaco_macaco",3.5,"Polygamous",7.31176470588235,2.39897142940393,37.0845588235294,3.53063725490196,0.220588235294118,1.76960784313725,57.3946078431373,16,16,16,16,16,29,16
"6","Common Brown Lemur","Eulemur_fulvus_fulvus",2,"Polygamous",6.1875,2.4711121234208,54.25,3.875,0,2.5,39.375,2,2,2,2,2,6,2
"7","Coquerel's Lemur","Propithecus_coquereli",3,"Polyandrous",7.18926149267399,3.79468557654643,34.1377562830688,3.77593005952381,0.0934606481481482,0.677835648148148,61.22421875,52,52,52,52,52,54,52
"8","Crowned lemur","Eulemur_coronatus",1.5,"Polygynous",6.81521486643438,1.57146285026981,40.922052154195,2.7250566893424,0.170068027210884,2.11422902494331,54.0804988662132,22,22,21,22,22,27,22
"9","Eastern Lesser Bamboo Lemur","Hapalemur_griseus_alaotrensis",6,"Polygynous",7.29225877192982,1.06758724175175,51.4240990990991,3.32162162162162,0.0313063063063063,1.57545045045045,43.3948198198198,26,26,26,26,26,31,26
"10","Fat-tailed Dwarf Lemur","Cheirogaleus_medius",1,"Monogamous",6.37833333333333,0.225454074151402,66.5375,3.5,0.4,2.75,27.4625,10,11,5,10,11,86,11
"11","Golden-crowned Sifaka","Propithecus_tattersalli",2.5,"Polygynous",8.02857142857143,2.91875,24.5714285714286,3.71428571428571,0.142857142857143,1.28571428571429,64.2857142857143,1,1,1,1,1,2,1
"12","Grey Mouse Lemur","Microcebus_murinus",1,"Polygamous",6.83333333333333,0.0798788029093174,40.5,4,0,8,47.5,2,2,2,2,2,89,3
"13","Lesser Bushbaby","Galago_senegalensis",2,"Polygynous",5.20454545454545,0.166419432771799,64.9,2.35,0.1,1.25,31.3,9,9,9,9,9,40,9
"14","Mongoose Lemur","Eulemur_mongoz",2,"Monogamous",5.58875801282051,1.57749292852504,43.7158653846154,3.02019230769231,0.0596153846153846,2.55977564102564,50.5508012820513,36,36,36,36,36,43,37
"15","Northern Giant Mouse Lemur","Mirza_zaza",2,"Polygamous",9.58122222222222,0.286150864513692,45.2321428571429,2.51282051282051,0.0238095238095238,2.05357142857143,50.3035714285714,15,15,15,15,15,59,16
"16","Pygmy Slow Loris","Nycticebus_pygmaeus",2,"Polygynous",11.8537037037037,0.484758579102452,61.20625,2.97291666666667,0.297777777777778,1.0625,34.4791666666667,10,10,9,10,10,16,10
"17","Red-bellied Lemur","Eulemur_rubriventer",1,"Monogamous",8.78003787878788,2.18387188208617,40.9220833333333,3.49166666666667,0.0541666666666667,2.52458333333333,53.0075,11,11,11,11,11,11,11
"18","Red-fronted Lemur","Eulemur_fulvus_rufus",2,"Polygamous",8.08240740740741,2.17501141376458,43.6053921568627,2.58333333333333,0.0333333333333333,3.23333333333333,49.5809523809524,19,19,19,19,19,26,20
"19","Red-ruffed Lemur","Varecia_rubra",1,"Polygamous",6.48099816849817,3.64176287783522,37.0872222222222,3.63032679738562,0.0598039215686275,2.50552287581699,56.7772549019608,40,40,40,40,40,103,47
"20","Ringtailed Lemur","Lemur_catta",1,"Polygamous",6.87438676487153,2.50332176286444,39.7424005611194,3.78537665115227,0.062952787952788,1.95036095662827,54.4182976769819,97,97,97,97,97,103,99
"21","Sanford's Lemur","Eulemur_fulvus_sanfordi",0.5,"Polygamous",6.3005376344086,2.01569991181658,48.8833333333333,2.54444444444444,0.166666666666667,2.58333333333333,45.8222222222222,10,10,10,10,10,11,10
"22","Slender Loris","Loris_tardigradus",4,"Polygamous",11.7277777777778,0.17746691677277,56.3333333333333,2.61111111111111,0.0625,0.722222222222222,40.2777777777778,8,8,8,8,8,24,8
"23","Slow Loris","Nycticebus_coucang",2.5,"Polygamous",8.6715,1.13247832312843,53.3527777777778,3.73518518518519,0.152777777777778,2.42407407407407,40.3351851851852,14,14,13,14,14,18,14
